image_name,mae,rmse,imae,irmse
008.png,32952.8,44940.484,25.852272,36.842937
009.png,35105.336,46079.59,26.873611,176.36935
011.png,32753.383,43137.555,27.797474,103.37058
022.png,33932.13,57153.7,29.276686,285.77103
027.png,47901.977,72411.71,1218.3007,344696.4
028.png,41290.17,63427.414,27.03486,239.30206
030.png,37609.26,58596.78,24.848026,234.13193
031.png,40482.355,61472.816,24.70285,193.62169
032.png,43320.484,63775.98,24.898344,56.93829
033.png,37067.51,53843.406,28.342047,182.71552
039.png,19555.957,22697.666,23.308031,27.948929
045.png,21290.873,26807.98,24.744938,29.71992
047.png,20768.807,28406.318,26.73791,31.682281
053.png,23020.904,31959.355,28.796156,79.38602
055.png,21011.896,29625.988,28.450329,64.01885
061.png,22504.768,32821.812,31.753138,36.895824
062.png,21248.762,31082.633,32.3063,37.643314
063.png,23353.861,35993.645,33.36821,115.063614
068.png,21554.357,33072.168,33.062588,43.151165
070.png,19148.703,28055.47,31.90114,35.990013
071.png,17982.707,26580.81,31.1586,43.123974
076.png,21199.16,37507.562,33.246788,74.01538
077.png,26119.57,44683.86,35.16518,66.5959
083.png,24378.74,41650.312,33.938377,38.63634
084.png,17990.205,28669.303,32.364803,37.446674
086.png,19734.596,30381.254,33.64509,42.805813
090.png,19028.592,29276.83,32.643307,48.134274
093.png,29042.7,44834.33,40.277466,601.4816
095.png,28800.148,45917.293,33.415726,134.67978
096.png,34251.793,53661.9,40.55319,1319.2559
099.png,23249.195,38598.68,26.05433,40.439487
100.png,25537.723,41006.832,28.631893,45.812267
1006.png,22526.58,33541.49,28.734917,63.41886
1014.png,18199.541,25792.404,26.720167,36.49544
1019.png,25625.56,41108.668,29.850126,149.85808
1020.png,29903.713,46952.598,29.034035,97.149055
1023.png,38608.73,57383.84,28.121069,131.29205
1025.png,34746.65,54944.863,901.0823,295196.4
1041.png,37587.168,57256.746,28.520962,133.41187
1046.png,40094.37,58712.06,29.580347,133.20007
1048.png,36393.63,52625.73,31.368477,907.4448
1050.png,26676.42,40330.91,26.9388,93.272606
1053.png,28199.049,42274.605,35.265854,882.8119
1054.png,26426.77,41570.254,31.800125,539.2329
1058.png,35060.043,55911.633,31.889868,469.51013
1060.png,35628.996,58760.023,30.404123,275.66818
1063.png,33097.6,57017.523,1091.8154,325250.22
1067.png,36143.27,60030.4,2196.9038,465053.47
1071.png,45784.1,70937.336,35.77589,599.13367
1077.png,46183.41,70139.61,32.757015,218.0787
1082.png,47155.73,68895.01,2177.8215,463347.88
1083.png,47021.13,68700.84,33.596428,829.3385
1085.png,47538.316,68209.12,31.061335,53.658577
1087.png,47954.105,67556.27,1101.8677,327085.66
1095.png,39984.242,55824.87,32.689045,243.75943
1096.png,35482.203,50635.152,30.06798,148.06627
110.png,28364.238,45282.254,26.44106,35.1324
1101.png,29644.89,43754.188,1365.9352,365272.6
1105.png,33344.71,50679.51,32.78857,284.0861
1111.png,37672.098,57774.66,29.007462,104.821655
1118.png,25187.93,38998.96,1341.4377,362521.06
112.png,31021.607,50766.938,39.160618,1366.9283
1122.png,27482.83,43160.773,1427.581,374198.6
1130.png,31152.096,46383.543,27.329437,44.20971
1134.png,32267.436,47650.26,29.769407,39.025528
1141.png,31307.863,49119.9,26.891243,35.93782
1146.png,25160.705,39774.977,30.83663,191.74162
1149.png,37436.37,68837.66,26.685257,106.50445
115.png,24955.932,37603.414,27.592869,103.23267
1150.png,40177.37,69512.125,30.268888,165.66957
1151.png,46456.465,76117.76,30.673315,192.6364
1158.png,45823.824,70635.516,36.271446,101.93425
116.png,23201.094,35278.12,30.403013,433.10733
1165.png,38371.105,59275.53,34.226795,41.668888
1173.png,27042.326,38360.37,32.98743,63.81646
1175.png,25900.91,35768.727,33.365665,43.944405
1177.png,21906.965,30311.72,33.594883,39.697674
1180.png,24384.61,36189.63,35.421352,45.803127
1181.png,24531.059,39423.64,36.106087,44.68202
1186.png,21523.826,33916.633,31.83418,37.75354
1187.png,22725.092,34075.816,33.297855,37.366665
1188.png,23433.398,36360.305,34.26924,60.95428
119.png,26542.525,37997.203,33.53903,63.491726
1190.png,21954.229,30627.658,33.69973,90.17739
1191.png,27601.773,41889.64,38.60738,45.36002
1199.png,26897.871,41739.582,40.97598,51.033337
1202.png,23895.125,35080.418,42.001457,55.243378
1206.png,22682.8,34638.93,41.74419,63.259064
1213.png,17356.35,25041.861,39.726387,81.10079
1216.png,17600.967,27811.594,38.65989,68.79097
1226.png,27319.479,40455.527,39.97499,519.3623
123.png,18432.223,25547.896,28.788588,38.261654
1235.png,28964.277,37905.902,30.956924,50.07658
1236.png,24112.986,31725.365,28.109858,44.50721
1239.png,23250.861,31649.316,27.136435,87.41059
1242.png,31986.55,42271.605,30.262125,466.10715
1244.png,18076.521,25923.72,22.557844,26.400747
1248.png,25913.773,34482.375,30.458328,82.36343
1250.png,27953.809,37830.258,31.472605,40.409363
1251.png,27185.633,37028.945,30.152767,59.06794
1257.png,28995.602,41739.93,26.913338,162.25424
1270.png,26687.498,38298.613,26.290825,141.85464
1276.png,29813.035,42284.29,28.033592,158.33554
1277.png,32361.113,45285.42,31.354698,410.78915
1279.png,29164.834,43592.055,27.777382,101.76923
1280.png,29175.527,41755.1,30.802391,810.93066
1281.png,33166.37,48634.51,31.642946,125.42848
1283.png,30372.156,45700.984,31.691452,207.0123
1289.png,33270.06,50801.44,34.508396,371.8641
1290.png,30125.812,45347.496,29.207106,49.558586
1295.png,39969.39,62125.44,34.205894,456.3117
1296.png,47309.145,71684.64,31.245304,154.14024
1298.png,34442.547,57526.64,1044.2623,319031.6
1299.png,39357.637,60348.77,26.466034,121.68869
1301.png,47516.57,69055.086,31.460138,309.1311
1303.png,50296.016,70571.7,2108.3525,455129.34
1312.png,32720.121,51840.49,29.580286,179.32137
1315.png,28138.855,45901.934,25.652199,111.17696
1318.png,25904.78,39605.496,24.544552,28.968113
1320.png,27168.93,38033.055,33.25436,269.30078
1321.png,23892.188,39131.074,28.509644,168.94249
1322.png,23399.803,35207.76,34.788376,892.2799
1324.png,32819.965,53186.742,1145.641,333305.84
1332.png,42241.945,60410.508,31.123098,88.76164
1333.png,37324.117,54493.445,29.953722,51.891132
1334.png,38941.54,54967.05,1188.6449,340482.78
1336.png,39758.254,55927.09,29.341194,167.61606
1337.png,37898.586,52530.395,27.339468,51.66064
1341.png,38072.066,49855.266,26.539803,34.031845
1346.png,26524.904,36626.24,1193.1666,341414.25
1347.png,28646.172,39189.066,28.584969,57.900795
135.png,45847.184,69214.8,33.98637,450.44012
1355.png,28614.822,39405.2,35.212276,449.26703
1356.png,27827.08,40016.598,30.946285,474.33145
136.png,40069.63,61392.652,33.113644,472.88544
1360.png,30827.69,49688.363,27.899403,435.25977
1361.png,28571.541,45290.684,28.162611,55.178173
