image_name,mae,rmse,imae,irmse
001.png,25769.7,31511.385,24.980303,28.795864
002.png,26211.863,31921.05,24.529478,28.233995
003.png,25780.863,31704.574,25.441515,29.165596
004.png,25182.693,30742.363,25.603024,29.39388
005.png,26093.312,32108.865,25.100504,28.798744
006.png,26389.414,32621.77,25.060873,28.878378
007.png,26692.82,32946.4,25.190939,29.260254
008.png,27034.236,33058.754,24.89698,29.004015
009.png,27415.883,33311.285,24.677704,29.013432
010.png,26381.139,32078.074,25.199535,29.375544
011.png,27025.201,32628.805,24.299208,28.3619
012.png,26208.307,31617.482,24.781435,28.876343
013.png,23166.488,27478.87,27.047955,30.87488
014.png,22330.426,26372.578,27.687693,31.41988
015.png,22091.852,26150.826,28.02913,31.722315
016.png,20306.395,23806.299,30.50868,33.85478
017.png,20261.113,24011.033,31.111359,34.3758
018.png,20184.053,23871.637,30.978783,34.147034
019.png,19123.246,22578.389,32.23505,35.489483
020.png,18910.73,22437.123,32.193584,35.272686
021.png,18885.314,22258.533,32.129745,35.235416
022.png,18706.719,22464.848,32.672413,35.829765
023.png,18273.557,22026.895,33.406544,36.430977
024.png,18680.314,22767.121,33.09851,36.163418
025.png,21911.303,30134.291,33.31658,36.709515
026.png,22990.848,31726.496,32.854244,36.358074
027.png,23457.979,31569.816,31.725355,35.29471
028.png,27510.309,37604.85,31.037453,35.871536
029.png,27334.664,37710.08,31.434834,36.189716
030.png,30871.098,41743.94,29.528193,34.729927
031.png,30637.08,40852.33,28.658262,33.70847
032.png,30545.785,41371.598,30.169603,35.49046
033.png,27886.283,36737.68,28.961931,33.41794
034.png,27431.6,35302.805,27.9585,32.557495
035.png,27063.096,34166.254,27.517302,32.21719
036.png,27167.26,33398.77,26.769918,31.483137
037.png,28262.744,33209.406,25.280344,30.073616
038.png,27065.395,31231.432,25.255886,29.872347
039.png,25618.945,29048.055,25.877386,30.377016
040.png,25305.053,29038.22,26.045328,30.38283
041.png,25745.527,30007.424,25.623579,29.48208
042.png,24111.234,28687.795,26.977457,30.794172
043.png,24601.348,29353.252,27.025225,31.002954
044.png,24194.203,28889.639,26.876932,30.49654
045.png,25271.82,30556.635,25.740175,29.184664
046.png,24958.172,30397.762,26.02018,29.152008
047.png,24230.059,29563.785,26.571087,29.639252
048.png,24423.852,29664.219,26.45398,29.640688
049.png,23879.844,28920.93,26.992832,30.222626
050.png,24415.734,29683.068,26.457914,29.510332
051.png,23960.453,29006.86,26.748455,29.802217
052.png,24101.822,29175.416,26.610037,29.817549
053.png,24130.602,29486.822,26.933146,30.322453
054.png,23429.955,28433.242,27.240095,30.42203
055.png,24466.205,29953.525,26.775867,29.930952
056.png,25190.605,30886.588,26.24034,29.379068
057.png,24096.922,29746.701,27.085823,30.348766
058.png,24987.885,31040.969,27.515278,31.21937
059.png,25075.195,31058.705,27.325634,31.016603
060.png,25061.168,30417.707,26.398987,30.06673
061.png,25629.209,31279.352,26.396206,30.20558
062.png,25532.607,30962.973,26.618376,30.594275
063.png,25874.623,31304.045,26.349466,30.401493
064.png,24741.602,29761.986,26.547453,30.150713
065.png,24115.002,28973.635,27.220093,30.738308
066.png,24005.371,28743.904,27.108786,30.452263
067.png,23096.08,27430.863,27.500618,30.835468
068.png,23466.234,27703.44,26.909676,29.923964
069.png,21460.012,25061.182,28.330757,30.961952
070.png,21016.047,24513.076,28.87929,31.521482
071.png,21441.137,24931.436,28.074066,30.557943
072.png,20115.938,23463.17,29.423841,32.07483
073.png,19885.756,23172.877,29.609495,32.266403
074.png,19716.861,23124.328,30.176682,32.88786
075.png,19303.07,22820.67,30.428404,32.954514
076.png,19198.895,22730.746,30.734167,33.279266
077.png,19283.764,24166.111,31.948109,34.5573
078.png,19497.72,24800.379,32.28024,35.027287
079.png,19943.7,25595.486,32.96932,36.52675
080.png,20711.182,26669.426,31.158937,33.83936
081.png,20477.81,26221.975,31.472006,34.317104
082.png,20514.96,26497.836,31.670517,34.601105
083.png,20730.264,26896.62,31.77551,34.773296
084.png,21222.91,27585.07,31.310287,34.46472
085.png,20688.918,27738.178,33.8307,37.238575
086.png,19518.799,26173.334,35.101883,38.720768
087.png,19032.143,25598.342,36.349915,40.31825
088.png,18792.656,25205.525,36.311085,39.973637
089.png,18040.127,24270.082,37.023533,40.438683
090.png,17924.39,24203.703,36.894104,39.82092
091.png,23121.326,31362.328,33.108284,37.327164
092.png,25049.37,32662.607,30.06797,34.363483
093.png,25534.752,32452.037,28.0048,32.127815
094.png,25791.658,32013.809,27.269161,31.690578
095.png,27065.201,33536.223,26.338287,31.019506
096.png,27743.885,34170.277,25.350111,29.801537
097.png,25165.28,31126.145,26.221563,29.63882
098.png,25000.578,31350.768,28.03249,31.982677
099.png,24571.654,30761.305,28.092318,32.093555
100.png,25636.1,32120.58,26.985712,30.808416
1000.png,26842.707,32983.797,25.76705,29.785381
1001.png,26406.125,32564.977,26.31764,30.39967
1002.png,26340.143,32055.139,25.767685,29.738056
1003.png,25821.047,31413.74,26.18817,30.2065
1004.png,25060.596,30519.469,26.503345,30.047836
1005.png,24519.69,30214.316,27.363039,30.947596
1006.png,24062.303,29869.969,28.104599,31.756191
1007.png,23294.713,29152.338,28.027386,31.326353
1008.png,24409.734,30552.47,27.885605,31.609295
1009.png,24977.922,31239.568,26.873043,30.403723
101.png,26015.582,32791.36,27.237667,31.20404
1010.png,25683.23,31646.861,26.186966,29.673994
1011.png,24403.021,29956.617,26.19596,29.281773
1012.png,26073.715,31809.08,25.117083,28.368593
1013.png,25986.137,31816.13,25.466131,28.62981
1014.png,24578.959,30537.375,27.049683,30.381742
1015.png,25178.08,31281.367,26.506157,29.901827
1016.png,27302.672,33288.914,25.001698,28.841862
1017.png,25509.373,30805.19,26.025633,29.766573
1018.png,23082.076,27274.164,26.48499,29.59164
1019.png,22474.158,27003.88,27.693352,30.908728
102.png,25493.877,32676.213,28.17843,32.047432
1020.png,22750.244,27997.637,27.503916,30.650229
1021.png,24098.787,29980.43,27.195992,30.369328
1022.png,23421.268,29259.973,27.919062,31.188717
1023.png,24495.006,30266.527,27.084602,30.506626
1024.png,25571.326,31653.895,26.609892,30.064293
1025.png,25803.111,32047.88,26.381975,29.837942
1026.png,27680.371,33914.156,24.234928,27.438461
1027.png,25143.992,31010.258,26.650536,29.919657
1028.png,25785.062,31758.537,26.410517,29.941294
1029.png,25785.041,31568.193,26.344414,30.043192
103.png,27633.195,35184.36,27.240335,31.88619
1030.png,24510.492,30294.176,27.388676,31.203484
1031.png,24912.053,30968.977,27.189089,30.92417
1032.png,25644.457,31178.613,25.539892,28.964325
1033.png,24088.338,29487.154,27.19146,30.762604
1034.png,23727.143,28738.39,27.021147,30.26856
1035.png,23193.512,28397.377,27.32394,30.496109
1036.png,22842.602,27857.684,27.690252,30.713219
1037.png,23619.617,28816.758,26.907047,29.912062
1038.png,24218.285,29311.475,26.347061,29.229473
1039.png,23301.506,28127.693,26.708172,29.3392
104.png,27360.1,34639.7,26.941334,31.571848
1040.png,22938.135,27871.18,27.374006,30.19641
1041.png,22354.783,27323.662,28.07388,30.92184
1042.png,22884.857,28175.064,27.932335,30.921318
1043.png,22945.768,28263.584,27.986774,30.98364
1044.png,24550.594,29982.53,26.638685,30.026493
1045.png,24244.963,29159.322,26.693438,30.183393
1046.png,24780.523,29657.057,26.251846,29.80359
1047.png,24318.129,29161.08,26.374088,29.983295
1048.png,25152.182,29748.232,25.309284,28.61945
1049.png,24438.639,28741.463,25.455635,28.41929
105.png,26829.525,33749.73,27.058252,31.687586
1050.png,24120.07,28080.727,25.239626,28.129421
1051.png,22381.574,26099.033,26.90697,29.858345
1052.png,21947.957,25535.098,27.451094,30.410313
1053.png,21879.236,25379.367,27.088076,29.929922
1054.png,21774.707,25296.94,27.204306,30.029821
1055.png,21309.762,24685.697,27.910488,30.772394
1056.png,21258.83,25002.738,28.382654,31.268932
1057.png,21136.408,24768.002,28.499693,31.600554
1058.png,21116.383,24815.271,28.884525,31.898361
1059.png,20814.13,24834.207,29.44971,32.535156
106.png,26713.312,33624.766,26.976986,31.493301
1060.png,20427.592,24209.762,29.056599,31.879534
1061.png,21599.53,26170.898,28.451447,31.219698
1062.png,21726.994,26213.326,28.28947,31.186293
1063.png,21890.854,26324.006,27.976572,30.76158
1064.png,23551.977,29011.842,27.349127,30.434929
1065.png,22258.242,27754.086,28.681993,31.525517
1066.png,24038.035,30854.182,27.401058,30.027357
1067.png,22654.1,28838.756,28.489624,31.208881
1068.png,22095.635,28318.031,29.868074,32.794666
1069.png,23395.527,30132.436,29.164549,32.63636
107.png,24599.723,30408.342,27.27529,31.23152
1070.png,23414.127,30406.34,29.314684,32.669426
1071.png,24260.4,31472.94,28.939037,32.473164
1072.png,24894.75,31998.139,28.469927,32.330814
1073.png,25651.32,33038.73,27.911325,32.19768
1074.png,26697.688,34032.676,26.325602,30.693052
1075.png,25476.44,32805.496,28.001799,32.43917
1076.png,25578.936,33125.824,28.741861,33.119846
1077.png,25966.998,34293.14,30.192606,34.984524
1078.png,26759.793,34839.426,29.040548,33.776325
1079.png,29009.592,38082.64,29.11064,34.55049
108.png,24111.516,30250.197,27.732128,31.680004
1080.png,30631.836,39643.12,28.680006,34.80099
1081.png,32088.668,40616.277,26.496107,32.46338
1082.png,38670.527,46531.754,22.055155,28.977665
1083.png,37153.78,45449.387,23.218103,29.578123
1084.png,34311.254,42663.984,25.09695,31.20517
1085.png,34995.156,43337.305,24.99195,31.366266
1086.png,34412.336,43728.4,27.265959,33.9236
1087.png,33074.184,41399.637,26.58711,32.851875
1088.png,32654.137,41080.09,26.606358,32.710747
1089.png,32686.9,40555.875,25.501053,31.280157
109.png,24087.014,30195.047,27.685001,31.572123
1090.png,31167.547,38524.844,25.414242,30.695412
1091.png,32042.918,39495.87,24.966335,30.33348
1092.png,30792.396,38040.453,25.14439,30.214947
1093.png,29367.885,36291.85,25.453648,30.28756
