image_name,mae,rmse,imae,irmse
0000000005.png,537.23914,1560.5385,2.00465,3.157622
0000000006.png,512.7506,1509.0953,1.9636041,2.8821483
0000000007.png,526.7319,1575.2292,2.0028877,2.990713
0000000008.png,520.8221,1428.2433,2.0248005,2.842914
0000000009.png,511.4359,1385.2664,2.0123236,2.8256648
0000000010.png,504.65994,1397.2822,1.9016092,2.8441336
0000000011.png,510.3723,1394.1327,2.0113254,2.8158088
0000000012.png,539.6713,1459.9353,2.0128284,2.9060748
0000000013.png,527.7682,1370.1482,1.9909321,2.741537
0000000014.png,542.95276,1373.2666,1.9342124,2.825341
0000000015.png,568.0264,1510.1436,1.9591483,2.791786
0000000016.png,552.46063,1359.3419,1.9771367,2.8316872
0000000017.png,563.982,1382.7397,1.935379,2.8288414
0000000018.png,587.0001,1576.1863,1.9761747,3.03439
0000000019.png,568.7926,1504.0576,1.8469124,2.7997715
0000000020.png,579.44507,1453.3246,1.9052192,2.796632
0000000021.png,599.62634,1670.1388,1.9585532,2.8167264
0000000022.png,589.82385,1587.2744,1.8849868,2.6542642
0000000023.png,562.05853,1503.1078,1.8431437,2.5162382
0000000024.png,573.4227,1586.2655,1.8623581,2.5427318
0000000025.png,589.5485,1583.9514,1.9355164,2.724399
0000000026.png,580.2049,1574.4045,1.8873216,2.6227155
0000000027.png,565.7108,1494.852,1.8304935,2.4263062
0000000028.png,566.07666,1514.1305,1.8614608,2.5073178
0000000029.png,577.3982,1531.679,1.8059163,2.4028115
0000000030.png,584.10205,1565.1987,1.8179784,2.4673328
0000000031.png,595.24225,1679.5912,1.857898,2.522208
0000000032.png,598.3155,1656.8397,1.8753092,2.5696318
0000000033.png,633.07697,1962.2026,1.9507544,2.944569
0000000034.png,589.2259,1767.841,1.7970377,2.5356078
0000000035.png,587.32526,1678.9102,1.7829981,2.4273458
0000000036.png,601.696,1742.3303,1.862777,2.523236
0000000037.png,602.57684,1698.3606,1.903592,2.5947137
0000000038.png,591.11163,1718.8187,1.8945454,2.6972678
0000000039.png,568.32904,1652.4557,1.8482369,2.612133
0000000040.png,601.99347,1844.231,1.9021095,2.880284
0000000041.png,619.456,1973.644,1.9865254,3.1165285
0000000042.png,606.496,1869.7048,2.0156174,2.9497492
0000000043.png,560.0659,1769.8689,1.8971268,2.8189278
0000000044.png,545.14154,1707.2411,1.8752369,2.7896254
0000000045.png,554.2447,1876.5449,1.8958741,2.7954712
0000000046.png,580.6392,1819.8295,1.9824612,2.8131988
0000000047.png,563.926,1714.275,1.9943742,2.7822397
0000000048.png,568.03174,1788.9897,1.9547929,2.7399306
0000000049.png,541.0021,1712.2969,1.9352391,2.7806396
0000000050.png,553.63654,1704.3594,1.8886043,2.7594817
0000000051.png,548.55084,1679.1123,1.9053009,2.747106
0000000052.png,581.2449,1816.9731,1.9147085,2.8144515
0000000053.png,594.8282,2020.0251,1.965648,2.925378
0000000054.png,584.516,1692.8004,1.9352323,2.6664467
0000000055.png,593.33813,1701.1461,1.9096894,2.6898696
0000000056.png,567.0971,1650.5906,1.7762696,2.5306394
0000000057.png,588.5975,1720.4963,1.8006543,2.5294743
0000000058.png,605.154,1827.1205,1.8307011,2.5773637
0000000059.png,617.17975,1844.4847,1.8967009,2.7053902
0000000060.png,587.4506,1730.2091,1.8505371,2.622112
0000000061.png,574.2438,1582.3779,1.91918,2.601712
0000000062.png,573.49023,1673.6964,1.8655938,2.6790545
0000000063.png,557.1955,1595.196,1.8822991,2.5872848
0000000064.png,548.8869,1520.8864,1.8723702,2.539487
0000000065.png,563.24255,1609.7275,1.8668156,2.551143
0000000066.png,547.578,1555.2114,1.8072938,2.4564826
0000000067.png,590.80695,1781.4158,1.844025,2.6182773
0000000068.png,584.1718,1712.3673,1.809021,2.6214526
0000000069.png,586.8074,1662.0425,1.7869099,2.5001554
0000000070.png,609.8153,1784.1221,1.7696964,2.5997295
0000000071.png,611.27747,1827.1023,1.7691925,2.5500474
0000000072.png,586.8829,1701.589,1.8062421,2.5696936
0000000073.png,620.495,1782.9009,1.8579835,2.6633742
0000000074.png,619.5081,1827.3715,1.920201,2.697878
0000000075.png,611.5763,1647.8943,1.8703011,2.710687
0000000076.png,602.47473,1616.6316,1.8769587,2.597904
0000000077.png,590.4114,1623.0579,1.8566915,2.6055014
0000000078.png,580.3081,1465.878,1.8377489,2.5303185
0000000079.png,579.02893,1562.0784,1.8713928,2.6480608
0000000080.png,563.09344,1512.3494,1.8435469,2.5660882
0000000081.png,556.2409,1524.4221,1.8388518,2.5029118
0000000082.png,567.32025,1602.8583,1.8340104,2.556951
0000000083.png,549.8299,1557.9913,1.8461034,2.6192946
0000000084.png,589.0374,1564.1235,1.9134616,2.696562
0000000085.png,609.33136,1693.5242,1.969186,3.6736553
0000000086.png,607.4503,1767.8231,1.9581974,2.8463876
0000000087.png,606.42847,1690.2251,1.9311907,3.4647036
0000000088.png,602.6864,1625.8882,1.8645952,2.973399
0000000089.png,625.05365,1777.0629,1.8801248,3.4219623
0000000090.png,601.09,1607.3741,1.7976322,2.9384248
0000000091.png,595.4966,1634.2877,1.8117709,3.4373631
0000000092.png,586.15125,1621.6482,1.8261014,3.4575493
0000000093.png,593.592,1583.6609,1.8718579,3.3437676
0000000094.png,582.74384,1732.6758,1.8697295,3.7582366
0000000095.png,541.1479,1711.5099,1.8214399,3.0718436
0000000096.png,552.54156,1679.3356,1.9419326,3.8216872
0000000097.png,536.3363,1500.1353,1.9410378,3.140904
0000000098.png,548.2865,1576.725,1.9696195,3.2927163
0000000099.png,528.5706,1503.1427,1.9587176,3.6298568
0000000100.png,540.5544,1469.5077,2.0030031,3.2994196
0000000101.png,533.94086,1517.6157,2.0195434,3.8218536
0000000102.png,562.1943,1563.4612,2.0729034,3.720591
0000000103.png,536.1472,1409.3549,2.0090234,3.347191
0000000104.png,568.01385,1589.0159,2.0381868,3.5254927
0000000105.png,558.4628,1603.2151,2.02779,3.2830586
0000000106.png,559.69135,1496.207,1.957251,3.1392326
0000000107.png,570.54596,1605.6047,1.9231012,3.0519753
0000000108.png,611.09125,1796.2147,1.9650673,3.7333994
0000000109.png,573.5464,1671.7931,1.8690772,3.15091
0000000110.png,575.7571,1681.0231,1.9017476,3.3616974
0000000111.png,604.75415,1632.7434,1.8727216,3.014015
0000000112.png,615.4571,1795.3408,1.8710449,3.1073477
0000000113.png,602.9074,1679.0892,1.9214556,3.2329035
0000000114.png,583.49835,1554.4125,1.8416876,3.004316
0000000115.png,584.202,1642.6796,1.8382365,2.9326584
0000000116.png,552.7455,1551.0409,1.7733072,2.796857
0000000117.png,588.66925,1756.5004,1.9286164,3.3258395
0000000118.png,573.41113,1641.8586,1.9360306,3.655752
0000000119.png,539.6137,1515.1893,1.9189346,3.4352438
0000000120.png,571.0844,1835.0287,1.9197832,3.2893863
0000000121.png,558.66547,1637.5815,2.0479238,3.618546
0000000122.png,560.39166,1551.5552,2.008443,3.3036532
0000000123.png,592.6078,1800.3796,2.0238094,3.3470094
0000000124.png,594.2104,1774.027,1.9849113,3.2933416
0000000125.png,585.54913,1699.5592,1.9474483,3.0712385
0000000126.png,617.3493,1941.1198,1.9906812,3.3934102
0000000127.png,604.272,1822.0623,1.9150276,3.1154995
0000000128.png,672.71936,2274.8037,1.9252783,3.283742
0000000129.png,666.9451,2121.0166,1.9970111,3.2934837
0000000130.png,619.0487,1881.1815,1.899932,3.187947
0000000131.png,628.5176,1952.4576,1.956682,3.3169682
0000000132.png,634.1451,2033.3811,1.9098344,3.27358
0000000133.png,613.03986,2073.7725,1.8046957,3.0571177
0000000134.png,603.7152,1925.4313,1.8547163,2.9523027
0000000135.png,614.3364,1952.2576,1.9421579,3.2520452
0000000136.png,589.4542,1743.2529,1.9527229,3.2830977
0000000137.png,582.245,1713.0668,1.8816644,3.0252774
0000000138.png,580.4802,1833.8873,1.8689992,2.970636
0000000139.png,615.5941,1891.9849,1.9568042,3.1384375
0000000140.png,597.329,1762.2802,1.8592929,3.0469718
0000000141.png,583.2905,1797.0171,1.9064842,3.054648
0000000142.png,609.54285,2035.2565,1.9584633,3.8211296
0000000143.png,595.7089,1834.5138,2.048932,4.050868
0000000144.png,606.9357,1884.6923,2.0497112,3.437595
0000000145.png,631.93427,1977.6318,2.0767303,3.6383731
