image_name,mae,rmse,imae,irmse
0000000005.png,494.35718,1036.4033,1.3502151,1.7632774
0000000006.png,607.39655,1292.5621,1.5645111,1.8958595
0000000007.png,422.65692,979.3194,1.1610545,1.5198138
0000000008.png,469.39297,1085.6594,1.2149763,1.593101
0000000009.png,489.23273,1068.7394,1.2454023,1.6091372
0000000010.png,497.64084,1053.4559,1.4018465,1.8274696
0000000011.png,607.49774,1260.7543,1.520849,1.8387697
0000000012.png,522.20984,1101.7216,1.4082546,1.7809528
0000000013.png,458.174,1089.0233,1.1308656,1.4282892
0000000014.png,528.05853,1158.3413,1.3148237,1.6137558
0000000015.png,484.07562,1090.2391,1.234828,1.5230639
0000000016.png,459.78348,1045.4149,1.155021,1.475368
0000000017.png,496.33304,1123.4313,1.2367541,1.5960838
0000000018.png,431.91095,1058.3157,1.1291091,1.4723008
0000000019.png,437.0585,1010.5411,1.1730474,1.5278147
0000000020.png,451.27258,987.56616,1.2482688,1.5847882
0000000021.png,501.29276,1045.1373,1.5115329,1.8408529
0000000022.png,509.80133,1089.1604,1.4748832,1.8786571
0000000023.png,459.65854,980.8464,1.361466,1.7889007
0000000024.png,476.06094,1003.62775,1.393259,1.8158015
0000000025.png,441.25836,976.5926,1.2518295,1.7170497
0000000026.png,541.76697,1150.6693,1.4703317,1.8885314
0000000027.png,488.0099,1062.232,1.3646286,1.7414334
0000000028.png,412.79147,902.7336,1.1397339,1.4959049
0000000029.png,455.39532,1004.34894,1.2754298,1.6646377
0000000030.png,457.20267,1006.73004,1.2099525,1.6217934
0000000031.png,482.45648,1060.1248,1.2904377,1.7020978
0000000032.png,491.20712,1070.8494,1.3323075,1.6586839
0000000033.png,467.32272,1023.4025,1.3137327,1.6737477
0000000034.png,487.6802,1018.70056,1.3407446,1.6829033
0000000035.png,516.43524,1087.0234,1.3586311,1.6855224
0000000036.png,533.0801,1171.2192,1.3651946,1.7366861
0000000037.png,491.16693,1082.0575,1.2934313,1.7409781
0000000038.png,486.5671,1079.4177,1.2804818,1.6550146
0000000039.png,485.70282,1165.8523,1.3017396,1.7049937
0000000040.png,482.10083,1124.4353,1.2898469,1.6428918
0000000041.png,478.0558,1156.8667,1.2854916,1.6716158
0000000042.png,510.82474,1213.0922,1.3703884,1.7343721
0000000043.png,518.6754,1238.2783,1.3753082,1.7870041
0000000044.png,438.52765,1031.7433,1.2092762,1.6027625
0000000045.png,485.05786,1128.652,1.3200561,1.6992685
0000000046.png,508.07413,1079.117,1.3971572,1.7826924
0000000047.png,478.8535,1103.666,1.2813642,1.6619216
0000000048.png,539.63635,1188.2045,1.4470378,1.8230658
0000000049.png,525.1453,1207.8661,1.451055,1.8926605
0000000050.png,525.1392,1141.8375,1.4007766,1.8705502
0000000051.png,619.6546,1307.9783,1.5789052,2.0152702
0000000052.png,518.4116,1223.1882,1.3024884,1.729099
0000000053.png,585.6245,1351.9945,1.3150346,1.661737
0000000054.png,555.2342,1294.2018,1.3142669,1.6323864
0000000055.png,566.5971,1398.7097,1.3794245,1.6997641
0000000056.png,524.017,1320.7418,1.2702781,1.6006258
0000000057.png,518.02966,1313.9838,1.1535441,1.482328
0000000058.png,470.65027,1271.9836,1.0851895,1.4354991
0000000059.png,538.3175,1306.0774,1.2817719,1.579824
0000000060.png,517.18427,1273.3718,1.2995143,1.5972224
0000000061.png,513.04803,1290.5833,1.2447499,1.5509785
0000000062.png,453.39597,1192.2253,1.141454,1.4595091
0000000063.png,477.7825,1225.6152,1.1446724,1.4476118
0000000064.png,511.60333,1297.9706,1.1821408,1.4990733
0000000065.png,506.20206,1356.5923,1.1755435,1.500081
0000000066.png,555.53156,1383.379,1.3357338,1.6883975
0000000067.png,538.5369,1402.7231,1.3099952,1.7054163
0000000068.png,583.38,1425.334,1.5264896,1.9281747
0000000069.png,525.642,1330.3289,1.3645697,1.7428775
0000000070.png,534.11206,1308.4052,1.3966395,1.8220398
0000000071.png,517.5607,1337.0807,1.316683,1.770587
0000000072.png,549.3377,1248.1537,1.5002747,1.9462029
0000000073.png,562.9949,1296.7902,1.5226581,1.9351356
0000000074.png,577.7587,1491.9675,1.4507955,1.9275286
0000000075.png,513.69904,1434.2816,1.2788644,1.7134804
0000000076.png,549.25354,1370.1732,1.4182771,1.8229262
0000000077.png,470.0825,1221.3644,1.302884,1.7582091
0000000078.png,533.0346,1425.1729,1.4348205,1.8513528
0000000079.png,538.21704,1393.8479,1.4476665,1.8260124
0000000080.png,558.9808,1351.7642,1.5071409,1.8578744
0000000081.png,501.39066,1319.2949,1.412219,1.7814593
0000000082.png,552.6019,1364.8733,1.5697979,1.950616
0000000083.png,515.62506,1404.2268,1.4554181,1.8428274
0000000084.png,555.8867,1404.25,1.5202281,1.8892255
0000000085.png,494.40756,1332.6285,1.3960787,1.7718501
0000000086.png,497.99228,1448.2816,1.4301805,1.832011
0000000087.png,510.98264,1324.4315,1.5011092,1.8830702
0000000088.png,526.2784,1369.5975,1.5016761,1.8575513
0000000089.png,523.3864,1422.2048,1.5238135,1.9283231
0000000090.png,509.0007,1427.1783,1.438062,1.8414917
0000000091.png,480.29636,1267.4664,1.3741343,1.7630042
0000000092.png,478.9471,1255.7482,1.3385007,1.7203028
0000000093.png,487.73364,1346.6405,1.3518715,1.787218
0000000094.png,500.90103,1362.0222,1.4119946,1.8141448
0000000095.png,510.91617,1433.8815,1.3839997,1.8235239
0000000096.png,502.27344,1359.4993,1.3311875,1.7296789
0000000097.png,501.4423,1344.5924,1.3837283,1.7801266
0000000098.png,491.66086,1344.4745,1.3715786,1.7713304
0000000099.png,535.8323,1401.5728,1.4617265,1.93744
0000000100.png,531.2839,1363.6545,1.4715012,1.8724753
0000000101.png,486.2538,1171.7236,1.3652133,1.6685094
0000000102.png,463.49487,1170.9562,1.3293076,1.6444151
