image_name,mae,rmse,imae,irmse
0000000005.png,286.72055,738.54034,2.3795116,3.0488083
0000000006.png,296.72668,752.3121,2.445318,3.2744987
0000000007.png,286.7657,723.7406,2.4146926,3.249497
0000000008.png,289.92166,733.8128,2.39973,3.2249303
0000000009.png,283.43347,651.5923,2.3566535,3.2010117
0000000010.png,291.58557,730.1102,2.3897943,3.2664096
0000000011.png,294.25308,741.06635,2.4022207,3.198686
0000000012.png,281.48074,760.2697,2.232699,2.9730892
0000000013.png,290.14142,779.58075,2.3197742,3.1820297
0000000014.png,283.3289,678.40454,2.2834063,3.0442064
0000000015.png,289.3372,704.424,2.3244228,3.1424441
0000000016.png,292.27505,736.2994,2.3835943,3.3095603
0000000017.png,288.54623,685.25635,2.398337,3.2079673
0000000018.png,298.1046,714.2559,2.4471796,3.22403
0000000019.png,293.5389,704.1149,2.3763194,3.0950902
0000000020.png,301.63455,790.56055,2.4161236,3.1562226
0000000021.png,288.57867,486.08173,2.3553867,3.2562826
0000000022.png,304.68042,793.2647,2.4454565,3.36248
0000000023.png,305.44824,765.07416,2.484339,3.4395978
0000000024.png,296.50284,577.4927,2.4398391,3.0780284
0000000025.png,307.12473,997.9584,2.472426,3.6267262
0000000026.png,307.232,829.5628,2.4834628,3.2964284
0000000027.png,315.66293,805.04004,2.5683908,3.4723258
0000000028.png,304.67932,839.49084,2.4695807,3.205074
0000000029.png,307.12564,756.5498,2.5001705,3.2921898
0000000030.png,303.4935,738.23444,2.4754086,3.3529904
0000000031.png,295.93896,756.0705,2.4223902,3.200399
0000000032.png,301.38174,759.4984,2.486855,3.3699481
0000000033.png,298.00235,695.28516,2.4442909,3.3686652
0000000034.png,289.26758,739.6487,2.3517787,3.244228
0000000035.png,295.6267,699.68353,2.4295774,3.3756425
0000000036.png,294.64816,713.2401,2.3907309,3.242004
0000000037.png,291.4417,695.8685,2.4186544,3.3369823
0000000038.png,294.19424,741.25934,2.4270554,3.5044029
0000000039.png,292.94574,707.43317,2.4508216,3.4164298
0000000040.png,299.64377,724.6615,2.5088396,3.4698868
0000000041.png,304.9299,745.2081,2.5630474,3.4549215
0000000042.png,297.96512,707.8254,2.5381436,3.4804463
0000000043.png,297.43304,677.7921,2.5306833,3.5170262
0000000044.png,297.21875,677.3113,2.5297685,3.3996563
0000000045.png,295.4973,703.5269,2.5285985,3.3252003
0000000046.png,284.70126,610.75085,2.440792,3.2709532
0000000047.png,280.9032,674.67584,2.3611126,3.1532485
0000000048.png,291.3974,714.56165,2.4400017,3.2745864
0000000049.png,288.4963,634.9663,2.4757042,3.3364823
0000000050.png,289.02222,666.6685,2.4711812,3.272581
0000000051.png,294.28976,675.57855,2.5103395,3.4278128
0000000052.png,291.56897,686.4943,2.489197,3.3060982
0000000053.png,291.96954,682.23956,2.4965105,3.329513
0000000054.png,300.82996,809.2792,2.533647,3.2989666
0000000055.png,293.87924,659.1189,2.5042458,3.2536454
0000000056.png,300.7519,744.0556,2.5169923,3.4682326
0000000057.png,296.078,649.3709,2.5133939,3.358564
0000000058.png,296.21457,797.62604,2.4808147,3.2642837
0000000059.png,296.09805,751.2036,2.4842165,3.311797
0000000060.png,293.92184,708.14734,2.481734,3.4596868
0000000061.png,301.40344,738.0859,2.529426,3.4403362
0000000062.png,298.73218,704.54456,2.5640805,3.650583
