image_name,mae,rmse,imae,irmse
0000000005.png,405.1527,1048.4901,1.2682977,1.66929
0000000006.png,457.67325,1254.5149,1.3804126,1.8162748
0000000007.png,435.84042,1236.4697,1.2788785,1.7246045
0000000008.png,368.22192,1181.5742,1.1579814,1.7468041
0000000009.png,375.7023,1138.4176,1.0512459,1.6609083
0000000010.png,300.9447,1113.6698,0.78917915,1.2893933
0000000011.png,295.49557,931.14294,0.8703899,1.6304669
0000000012.png,307.97125,958.5329,0.8738029,1.424101
0000000013.png,302.16925,853.0686,1.0156693,2.046629
0000000014.png,332.53152,893.7303,1.0643507,1.4430655
0000000015.png,329.28278,897.04486,1.023217,1.39139
0000000016.png,281.97055,835.2484,0.9443364,1.391087
0000000017.png,282.78806,856.81946,0.9288045,1.4583015
0000000018.png,286.99948,836.73376,0.9629751,1.6496837
0000000019.png,300.66705,890.52423,0.989092,1.6455969
0000000020.png,315.5344,994.4539,1.0405645,2.0286539
0000000021.png,329.55286,1030.8947,1.1008341,1.910044
0000000022.png,337.61008,1012.20013,1.0737276,1.718807
0000000023.png,328.04773,1009.3357,1.0226973,1.9934441
0000000024.png,305.14227,970.1497,0.911955,1.8636957
0000000025.png,311.09805,1109.7544,0.8770498,1.8166991
0000000026.png,277.36838,818.0626,0.8841756,1.733429
0000000027.png,282.22003,930.2823,0.88533705,2.1021316
0000000028.png,318.09354,908.6909,1.0383223,2.32549
0000000029.png,276.9771,944.1353,0.8759195,3.0705836
0000000030.png,265.01917,906.0455,0.88349855,1.2690705
0000000031.png,251.96262,880.2255,0.89356095,1.2059122
0000000032.png,272.67755,1015.6019,0.96330893,1.3451879
0000000033.png,276.70135,986.7947,0.9093611,1.5297294
0000000034.png,313.1495,1136.7428,0.9651129,1.7282827
0000000035.png,293.95624,983.7795,0.90923405,1.3862524
0000000036.png,289.28952,1073.166,0.91001767,2.5997186
0000000037.png,302.73303,1156.2341,0.83886325,1.2397102
0000000038.png,343.7425,1274.0518,1.0805598,1.6696087
0000000039.png,338.05588,1297.6313,1.0388864,1.6220162
0000000040.png,351.10168,1315.331,1.1160543,1.8681557
0000000041.png,365.8273,1256.536,1.2008761,1.7134752
0000000042.png,367.94525,1266.7512,1.1893473,1.9486998
0000000043.png,350.27487,1239.1742,1.1479397,2.0987537
0000000044.png,410.75446,1369.9138,1.3541162,2.2128832
0000000045.png,313.1242,1154.8811,0.94374424,1.3424739
0000000046.png,374.2193,1290.8267,1.0816416,1.4766254
0000000047.png,425.954,1496.0526,1.1278441,1.5848706
0000000048.png,465.06808,1685.3505,1.1776584,1.7068729
0000000049.png,424.3951,1594.6747,1.0239402,1.6251894
0000000050.png,424.0661,1487.7965,1.0775325,1.6100178
0000000051.png,465.40582,1513.0352,1.1103287,1.719503
0000000052.png,381.2424,1211.6162,0.96436423,1.5417926
0000000053.png,347.17722,1119.0635,0.9200668,1.463404
0000000054.png,359.1237,1139.6453,0.9265045,1.6432354
0000000055.png,372.68274,1133.2244,1.0111818,1.9149672
0000000056.png,386.85712,1115.2412,1.058325,1.7872834
0000000057.png,338.7469,1126.439,0.9063125,1.8503249
0000000058.png,339.57,1091.1273,0.95891756,2.1317859
0000000059.png,303.9062,973.4677,0.92877257,2.1377642
0000000060.png,394.3665,1051.954,1.1967436,2.735207
0000000061.png,439.14105,1101.0215,1.2601916,2.1551554
0000000062.png,401.5488,1010.55884,1.3145695,2.5090928
0000000063.png,298.25305,859.5674,1.0141203,1.4421942
0000000064.png,306.1776,949.4253,0.9774897,1.5112754
0000000065.png,322.94305,989.9106,0.9693977,1.4730026
0000000066.png,367.39792,1037.0607,1.1327865,1.9372827
0000000067.png,294.12634,945.3164,0.96474606,2.2546444
0000000068.png,371.801,996.7628,1.2550969,2.421974
0000000069.png,266.5956,864.91534,0.91581255,3.2511437
0000000070.png,273.32394,876.817,0.80166256,2.296242
