image_name,mae,rmse,imae,irmse
0000000005.png,551.69196,1195.9012,1.3029953,1.7906122
0000000006.png,534.0285,1163.9824,1.4049253,1.8971763
0000000007.png,590.5489,1237.9982,1.4357426,1.9301058
0000000008.png,534.60443,1310.1122,1.3935401,2.0700607
0000000009.png,553.8991,1203.077,1.3869159,1.9210106
0000000010.png,656.2095,1359.9581,1.6775182,2.226239
0000000011.png,506.10693,1182.6002,1.2696522,1.9073452
0000000012.png,500.92548,1183.1727,1.2509229,1.8064388
0000000013.png,459.65854,1092.774,1.13699,1.7852268
0000000014.png,511.4213,1172.2594,1.3555065,1.9920653
0000000015.png,524.22406,1201.1553,1.3067216,2.0676377
0000000016.png,557.44635,1214.4464,1.3321626,1.9078597
0000000017.png,536.3406,1137.4655,1.2946961,1.8502637
0000000018.png,644.6682,1256.4967,1.6858375,2.3041244
0000000019.png,478.44714,1056.3158,1.1552302,1.7990739
0000000020.png,584.706,1151.1077,1.5333679,2.1548934
0000000021.png,480.1897,1013.5809,1.2648684,1.6936842
0000000022.png,498.3138,1037.7245,1.2876247,1.690873
0000000023.png,566.63,1155.8146,1.4218745,2.021448
0000000024.png,506.79816,1083.3369,1.3307521,1.6797954
0000000025.png,488.96985,1047.3016,1.2570459,1.6290683
0000000026.png,490.30054,1066.9935,1.3307896,1.7063023
0000000027.png,472.26694,1016.23816,1.2691818,1.6210238
0000000028.png,514.33276,1126.1735,1.3472667,1.70459
0000000029.png,499.32678,1118.4596,1.2787582,1.7018286
0000000030.png,499.03302,1109.9258,1.3633767,1.7540823
0000000031.png,564.24194,1190.4363,1.5576004,1.965071
0000000032.png,546.3493,1093.4069,1.5760157,1.9441338
0000000033.png,539.8755,1161.4998,1.5168253,1.9503933
0000000034.png,466.28934,1096.7506,1.3368126,1.7411121
0000000035.png,452.6714,1042.2924,1.3763387,1.8856891
0000000036.png,394.20743,969.9214,1.2342898,1.7660491
0000000037.png,489.25317,1015.21014,1.531931,1.9896721
0000000038.png,423.24374,1027.1028,1.289549,1.7907082
0000000039.png,432.9855,1147.7075,1.343549,1.8647383
0000000040.png,454.27264,1161.1145,1.4048901,1.9083707
0000000041.png,458.3687,1173.757,1.3855143,1.9316672
0000000042.png,429.69794,1069.429,1.3020724,1.8626499
0000000043.png,509.60083,1359.1177,1.466648,2.0296204
0000000044.png,505.96878,1134.1615,1.5005941,2.0506675
0000000045.png,506.0304,1273.9448,1.4069662,2.0084183
0000000046.png,492.3973,1341.286,1.3407722,2.1060343
0000000047.png,442.97235,1243.6616,1.173363,2.1191397
0000000048.png,512.15466,1457.467,1.2815117,2.4628906
0000000049.png,550.4089,1452.0957,1.2944514,2.1207147
0000000050.png,484.12314,1198.2222,1.1222821,1.6141635
0000000051.png,525.9995,1371.4004,1.1792326,1.5880369
0000000052.png,545.6441,1440.6051,1.2155628,1.7012534
0000000053.png,529.5422,1404.9579,1.2533427,1.7623698
0000000054.png,496.3393,1291.4796,1.1282226,1.6826602
0000000055.png,539.4374,1389.3945,1.1725861,1.7253175
0000000056.png,589.329,1453.2136,1.3103923,1.8285629
0000000057.png,580.20056,1377.2855,1.4035829,1.9042395
0000000058.png,598.0641,1455.9752,1.4812734,1.9231291
0000000059.png,577.3839,1441.2421,1.4950509,1.949797
0000000060.png,580.29926,1453.597,1.4679089,1.9263983
0000000061.png,620.81866,1515.2167,1.5109507,1.9736656
0000000062.png,639.21136,1661.5304,1.5432667,2.0064301
0000000063.png,619.56036,1551.2703,1.6000667,2.0994449
0000000064.png,577.0885,1491.6415,1.5105264,2.05091
0000000065.png,625.92847,1636.578,1.4849409,1.9880357
0000000066.png,621.6254,1528.7894,1.5082363,2.1622403
0000000067.png,599.6565,1530.6608,1.4779671,2.2373102
0000000068.png,568.38806,1599.4417,1.3906298,2.260334
0000000069.png,570.7625,1610.9117,1.3871933,1.9079331
0000000070.png,618.91724,1686.402,1.5211995,2.2212546
0000000071.png,582.4358,1740.8175,1.4034837,2.055377
0000000072.png,533.796,1607.9799,1.4531875,2.1202984
0000000073.png,545.76807,1548.55,1.4994365,2.1628687
0000000074.png,555.03143,1635.2377,1.504027,2.1556017
0000000075.png,561.5722,1671.0928,1.5262444,2.3086848
0000000076.png,578.54974,1822.9556,1.5544969,2.5320735
0000000077.png,566.75555,1734.4279,1.5672209,2.576354
0000000078.png,571.0224,1907.9487,1.6063583,2.8984742
0000000079.png,554.78516,1833.2477,1.6162602,2.9195118
0000000080.png,494.25275,1343.6185,1.5775424,2.5751815
0000000081.png,502.11075,1525.9065,1.5377136,2.5724032
0000000082.png,476.11008,1387.7687,1.4900018,2.1601515
0000000083.png,508.74307,1639.1508,1.497914,2.3223677
0000000084.png,518.9508,1611.8462,1.5376481,2.2928703
0000000085.png,513.89594,1606.6517,1.4651589,2.3431654
0000000086.png,508.9718,1523.7306,1.4598727,2.2528892
0000000087.png,494.70068,1431.5665,1.4431155,2.302216
0000000088.png,486.6639,1478.2898,1.3822896,2.3182294
0000000089.png,489.28296,1500.9606,1.3636899,2.54147
0000000090.png,526.94257,1506.2205,1.3939041,2.778036
