Image ID,GT Label,GT Box,Best Pred Box,IoU,Status
000000,Pedestrian,"[712.4, 143.0, 810.73, 307.92]","[705.0, 150.0, 810.0, 308.0]",0.8861304987751929,TP
000000,Cyclist,,"[353.0, 209.0, 419.0, 277.0]",0.0,FP
000000,Cyclist,,"[857.0, 212.0, 922.0, 279.0]",0.0,FP
000000,Cyclist,,"[935.0, 221.0, 1004.0, 281.0]",0.0,FP
000000,Cyclist,,"[252.0, 209.0, 337.0, 284.0]",0.0,FP
000000,Cyclist,,"[274.0, 212.0, 337.0, 284.0]",0.0,FP
000000,Cyclist,,"[1138.0, 228.0, 1223.0, 349.0]",0.0,FP
000000,Cyclist,,"[1142.0, 264.0, 1223.0, 350.0]",0.0,FP
000000,Cyclist,,"[347.0, 212.0, 394.0, 281.0]",0.0,FP
000001,Car,"[387.63, 181.54, 423.81, 203.12]","[385.0, 181.0, 422.0, 202.0]",0.8228971316272276,TP
000001,Cyclist,"[676.6, 163.95, 688.98, 193.93]",,0.0,FN
000001,Car,,"[550.0, 178.0, 563.0, 184.0]",0.0,FP
000002,Car,"[657.39, 190.13, 700.07, 223.39]","[652.0, 193.0, 702.0, 224.0]",0.775516720083976,TP
000003,Car,"[614.24, 181.78, 727.31, 284.77]","[610.0, 185.0, 722.0, 285.0]",0.8889809833401388,TP
000004,Car,"[280.38, 185.1, 344.9, 215.59]","[275.0, 185.0, 343.0, 213.0]",0.8225056173935448,TP
000004,Car,"[365.14, 184.54, 406.11, 205.2]","[360.0, 182.0, 406.0, 205.0]",0.7824416914082402,TP
000004,Car,,"[445.0, 177.0, 474.0, 195.0]",0.0,FP
000004,Car,,"[520.0, 179.0, 540.0, 188.0]",0.0,FP
000004,Car,,"[543.0, 178.0, 562.0, 188.0]",0.0,FP
000004,Car,,"[555.0, 178.0, 573.0, 187.0]",0.0,FP
000005,Pedestrian,"[330.06, 178.74, 360.77, 238.64]","[327.0, 183.0, 359.0, 241.0]",0.7721746923259374,TP
000006,Car,"[548.0, 171.33, 572.4, 194.42]",,0.0,FN
000006,Car,"[505.25, 168.37, 575.44, 209.18]","[504.0, 172.0, 576.0, 211.0]",0.8520546480876575,TP
000006,Car,"[49.7, 185.65, 227.42, 246.96]","[40.0, 186.0, 218.0, 242.0]",0.8239028187707875,TP
000006,Car,"[328.67, 170.65, 397.24, 204.16]","[324.0, 173.0, 399.0, 208.0]",0.7668823474201489,TP
000007,Car,"[564.62, 174.59, 616.43, 224.74]","[555.0, 177.0, 618.0, 224.0]",0.7794215577964471,TP
000007,Car,"[481.59, 180.09, 512.55, 202.42]","[475.0, 180.0, 511.0, 203.0]",0.7613222174756548,TP
000007,Car,"[542.05, 175.55, 565.27, 193.79]",,0.0,FN
000007,Cyclist,"[330.6, 176.09, 355.61, 213.6]",,0.0,FN
000007,Car,,"[741.0, 170.0, 762.0, 183.0]",0.0,FP
000008,Car,"[0.0, 192.37, 402.31, 374.0]","[0.0, 194.0, 391.0, 370.0]",0.941761678670376,TP
000008,Car,"[334.85, 178.94, 624.5, 372.04]","[343.0, 180.0, 619.0, 351.0]",0.8438191667419821,TP
000008,Car,"[937.29, 197.39, 1241.0, 374.0]","[943.0, 210.0, 1241.0, 370.0]",0.8889183355516487,TP
000008,Car,"[597.59, 176.18, 720.9, 261.14]","[596.0, 178.0, 720.0, 261.0]",0.9577355563441142,TP
000008,Car,"[741.18, 168.83, 792.25, 208.43]","[732.0, 169.0, 792.0, 207.0]",0.8144189553696599,TP
000008,Car,"[884.52, 178.31, 956.41, 240.18]","[878.0, 180.0, 957.0, 239.0]",0.8714253948519518,TP
000008,Car,,"[865.0, 168.0, 886.0, 179.0]",0.0,FP
000008,Pedestrian,,"[820.0, 171.0, 829.0, 191.0]",0.0,FP
000009,Car,"[601.96, 177.01, 659.15, 229.51]","[593.0, 179.0, 660.0, 228.0]",0.8045297882816337,TP
000009,Car,"[600.14, 177.09, 624.65, 193.31]",,0.0,FN
000009,Car,"[574.98, 178.64, 598.45, 194.01]","[570.0, 177.0, 597.0, 194.0]",0.7024350855346347,TP
000009,Car,,"[590.0, 176.0, 616.0, 194.0]",0.0,FP
000009,Car,,"[1184.0, 163.0, 1231.0, 188.0]",0.0,FP
000010,Car,"[1013.39, 182.46, 1241.0, 374.0]","[1001.0, 203.0, 1242.0, 371.0]",0.8340647067207876,TP
