Image ID,GT Label,GT Box,Best Pred Box,IoU,Status
000000,Pedestrian,"[712.4, 143.0, 810.73, 307.92]","[714.0, 151.0, 806.0, 309.0]",0.8848179641905599,TP
000000,Cyclist,,"[383.0, 205.0, 422.0, 270.0]",0.0,FP
000000,Cyclist,,"[1143.0, 226.0, 1223.0, 346.0]",0.0,FP
000000,Cyclist,,"[954.0, 195.0, 1000.0, 278.0]",0.0,FP
000000,Cyclist,,"[362.0, 205.0, 394.0, 280.0]",0.0,FP
000000,Cyclist,,"[909.0, 195.0, 961.0, 278.0]",0.0,FP
000000,Cyclist,,"[338.0, 205.0, 371.0, 281.0]",0.0,FP
000001,Car,"[387.63, 181.54, 423.81, 203.12]","[388.0, 179.0, 422.0, 200.0]",0.7238177128910225,TP
000001,Cyclist,"[676.6, 163.95, 688.98, 193.93]",,0.0,FN
000002,Car,"[657.39, 190.13, 700.07, 223.39]","[658.0, 190.0, 701.0, 223.0]",0.9499517722073694,TP
000003,Car,"[614.24, 181.78, 727.31, 284.77]","[614.0, 183.0, 722.0, 282.0]",0.9142503145107161,TP
000004,Car,"[280.38, 185.1, 344.9, 215.59]","[281.0, 184.0, 342.0, 213.0]",0.8365961846219673,TP
000004,Car,"[365.14, 184.54, 406.11, 205.2]","[365.0, 181.0, 403.0, 203.0]",0.7105886199771729,TP
000004,Car,,"[403.0, 172.0, 436.0, 194.0]",0.0,FP
000005,Pedestrian,"[330.06, 178.74, 360.77, 238.64]","[328.0, 181.0, 356.0, 237.0]",0.7430805534227268,TP
000006,Car,"[548.0, 171.33, 572.4, 194.42]",,0.0,FN
000006,Car,"[505.25, 168.37, 575.44, 209.18]","[509.0, 172.0, 573.0, 210.0]",0.8157606862466095,TP
000006,Car,"[49.7, 185.65, 227.42, 246.96]","[43.0, 185.0, 220.0, 243.0]",0.8570812503342387,TP
000006,Car,"[328.67, 170.65, 397.24, 204.16]","[330.0, 172.0, 396.0, 205.0]",0.9019808469303369,TP
000007,Car,"[564.62, 174.59, 616.43, 224.74]","[564.0, 175.0, 615.0, 223.0]",0.9201716189474904,TP
000007,Car,"[481.59, 180.09, 512.55, 202.42]","[480.0, 179.0, 512.0, 202.0]",0.8754744901706695,TP
000007,Car,"[542.05, 175.55, 565.27, 193.79]","[541.0, 176.0, 564.0, 193.0]",0.8454112847170333,TP
000007,Cyclist,"[330.6, 176.09, 355.61, 213.6]",,0.0,FN
000008,Car,"[0.0, 192.37, 402.31, 374.0]","[0.0, 193.0, 389.0, 372.0]",0.9529151279861798,TP
000008,Car,"[334.85, 178.94, 624.5, 372.04]","[350.0, 179.0, 614.0, 348.0]",0.7976912438206686,TP
000008,Car,"[937.29, 197.39, 1241.0, 374.0]","[947.0, 208.0, 1241.0, 371.0]",0.8934300435466884,TP
000008,Car,"[597.59, 176.18, 720.9, 261.14]","[604.0, 177.0, 718.0, 259.0]",0.8922897460673967,TP
000008,Car,"[741.18, 168.83, 792.25, 208.43]","[739.0, 169.0, 787.0, 206.0]",0.8061408480707865,TP
000008,Car,"[884.52, 178.31, 956.41, 240.18]","[886.0, 179.0, 954.0, 237.0]",0.886723680331347,TP
000008,Car,,"[779.0, 170.0, 803.0, 199.0]",0.0,FP
000009,Car,"[601.96, 177.01, 659.15, 229.51]","[602.0, 178.0, 657.0, 228.0]",0.9159110400586193,TP
000009,Car,"[600.14, 177.09, 624.65, 193.31]",,0.0,FN
000009,Car,"[574.98, 178.64, 598.45, 194.01]","[572.0, 176.0, 596.0, 192.0]",0.6053527573540106,TP
000010,Car,"[1013.39, 182.46, 1241.0, 374.0]","[1012.0, 202.0, 1241.0, 370.0]",0.8724283109549542,TP
000010,Car,"[354.43, 185.52, 549.52, 294.49]","[368.0, 189.0, 542.0, 290.0]",0.826663309587625,TP
000010,Pedestrian,"[859.54, 159.8, 879.68, 221.4]",,0.0,FN
000010,Car,"[819.63, 178.12, 926.85, 251.56]","[822.0, 181.0, 922.0, 251.0]",0.888975043270225,TP
000010,Car,"[800.54, 178.06, 878.75, 230.56]","[805.0, 180.0, 850.0, 232.0]",0.5455035874197548,TP
000010,Car,"[558.55, 179.04, 635.05, 230.61]","[561.0, 180.0, 631.0, 226.0]",0.8162013431835143,TP
000010,Car,"[598.3, 178.68, 652.25, 218.17]","[618.0, 177.0, 649.0, 215.0]",0.5158699704544948,TP
