epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1100.18,1.37532,1.96492,1.13255,0.54397,0.52543,0.51791,0.27205,1.32765,0.9924,1.12611,0.000254624,0.000254624,0.000254624
2,2201.34,1.27214,0.96601,1.09165,0.66373,0.53327,0.57613,0.30722,1.29913,0.88805,1.10648,0.000460373,0.000460373,0.000460373
3,3275.32,1.25001,0.89943,1.08648,0.52856,0.52843,0.52033,0.27331,1.3117,0.95741,1.12946,0.000615367,0.000615367,0.000615367
4,4334.33,1.20502,0.84518,1.06936,0.68582,0.4538,0.52404,0.30388,1.23237,0.89091,1.09479,0.000540607,0.000540607,0.000540607
5,5651.86,1.15907,0.79808,1.04027,0.64953,0.54148,0.57001,0.32694,1.19763,0.84659,1.08186,0.000464476,0.000464476,0.000464476
6,6609,1.11558,0.76206,1.02278,0.6699,0.57087,0.60708,0.34774,1.17718,0.76978,1.0647,0.000388345,0.000388345,0.000388345
7,7562.02,1.08266,0.71329,1.01039,0.68375,0.58419,0.62867,0.3683,1.1333,0.75054,1.05102,0.000312214,0.000312214,0.000312214
8,8573.32,1.05001,0.68357,0.99673,0.69855,0.58962,0.64798,0.37737,1.11812,0.71556,1.04012,0.000236083,0.000236083,0.000236083
9,9633.55,1.00417,0.65165,0.98267,0.74387,0.60122,0.67463,0.39722,1.06966,0.68824,1.02209,0.000159952,0.000159952,0.000159952
10,10969,0.96963,0.61099,0.96222,0.76878,0.61568,0.69508,0.41566,1.05249,0.66258,1.01282,8.3821e-05,8.3821e-05,8.3821e-05
